"Specificity","Sensitivity","Accuracy"
1,1,1
0.833333333333333,0.928571428571429,0.9
1,0.857142857142857,0.9
0.833333333333333,1,0.95
0.833333333333333,1,0.95
0.5,1,0.85
0.833333333333333,1,0.95
1,0.857142857142857,0.9
0.5,1,0.85
1,1,1
1,0.214285714285714,0.45
0.666666666666667,1,0.9
1,1,1
0.833333333333333,1,0.95
0.833333333333333,1,0.95
1,1,1
0.5,1,0.85
1,0.142857142857143,0.4
1,0.142857142857143,0.4
0.833333333333333,1,0.95
1,0.928571428571429,0.95
1,0.142857142857143,0.4
0.833333333333333,1,0.95
1,0.928571428571429,0.95
1,0,0.3
1,1,1
1,0.142857142857143,0.4
1,1,1
1,0.5,0.65
1,0.642857142857143,0.75
