"Specificity","Sensitivity","Accuracy"
1,0.857142857142857,0.9
1,0.642857142857143,0.75
1,0.785714285714286,0.85
1,0.642857142857143,0.75
1,0.642857142857143,0.75
0.833333333333333,1,0.95
0.833333333333333,1,0.95
1,0.857142857142857,0.9
1,1,1
1,0.857142857142857,0.9
1,0.357142857142857,0.55
1,1,1
1,1,1
1,0.571428571428571,0.7
1,0.928571428571429,0.95
1,0.5,0.65
1,0.5,0.65
0.833333333333333,1,0.95
1,0.714285714285714,0.8
1,0.571428571428571,0.7
0.833333333333333,0.785714285714286,0.8
1,1,1
1,0.857142857142857,0.9
1,0.714285714285714,0.8
1,0.428571428571429,0.6
1,0.642857142857143,0.75
1,0.357142857142857,0.55
0.666666666666667,1,0.9
0.833333333333333,1,0.95
0.666666666666667,0.857142857142857,0.8
